Name;Tier;Category;Type;Value;Value (dark);Description;Is Alias?
White;Core;Color;color;#ffffff;;;No
Black;Core;Color;color;#000000;;;No
Brand / Standard;Core;Color;color;#e20074;;Defined by brand, can not be changed;No
Brand / Dark;Core;Color;color;#c00063;;Brand magenta with 15% black overlay;No
Brand / Darker;Core;Color;color;#9e0051;;Brand magenta with 30% black overlay;No
Brand / Light;Core;Color;color;#ec59a5;;Brand magenta with 35% white overlay;No
Brand / Lighter;Core;Color;color;#f080ba;;Brand magenta with 50% white overlay;No
Brand / Tint;Core;Color;color;#fff0f8;;;No
Brand / Shade;Core;Color;color;#33001a;;;No
Grey / 0;Core;Color;color;#ffffff;;;No
Grey / 100;Core;Color;color;#fbfbfb;;;No
Grey / 200;Core;Color;color;#f7f7f8;;;No
Grey / 300;Core;Color;color;#efeff0;;;No
Grey / 400;Core;Color;color;#e7e7e9;;;No
Grey / 500;Core;Color;color;#dfdfe1;;;No
Grey / 600;Core;Color;color;#d0d0d2;;;No
Grey / 700;Core;Color;color;#c0c0c3;;;No
Grey / 800;Core;Color;color;#b1b1b4;;;No
Grey / 900;Core;Color;color;#a2a2a5;;;No
Grey / 1000;Core;Color;color;#929296;;;No
Grey / 1100;Core;Color;color;#838387;;;No
Grey / 1200;Core;Color;color;#747478;;;No
Grey / 1300;Core;Color;color;#656569;;;No
Grey / 1400;Core;Color;color;#57575a;;;No
Grey / 1500;Core;Color;color;#48484b;;;No
Grey / 1600;Core;Color;color;#39393c;;;No
Grey / 1700;Core;Color;color;#2b2b2d;;;No
Grey / 1800;Core;Color;color;#242426;;;No
Grey / 1900;Core;Color;color;#1c1c1e;;;No
Grey / 2000;Core;Color;color;#151517;;;No
Grey / 2100;Core;Color;color;#0e0e0f;;;No
Grey / 2200;Core;Color;color;#000000;;;No
Brown / 0;Core;Color;color;#ffefd9;;;No
Brown / 100;Core;Color;color;#efd3ab;;;No
Brown / 200;Core;Color;color;#e0b983;;;No
Brown / 300;Core;Color;color;#d0a363;;;No
Brown / 400;Core;Color;color;#c18f4a;;;No
Brown / 500;Core;Color;color;#b17f38;;;No
Brown / 600;Core;Color;color;#a2702b;;;No
Brown / 700;Core;Color;color;#926322;;;No
Brown / 800;Core;Color;color;#82581c;;;No
Brown / 900;Core;Color;color;#734d17;;;No
Brown / Tint;Core;Color;color;#efe5d7;;;No
Brown / Shade;Core;Color;color;#473316;;;No
Violet / 0;Core;Color;color;#e2d9ff;;;No
Violet / 100;Core;Color;color;#c8b5fd;;;No
Violet / 200;Core;Color;color;#af93fb;;;No
Violet / 300;Core;Color;color;#9a75f8;;;No
Violet / 400;Core;Color;color;#885df2;;;No
Violet / 500;Core;Color;color;#794ae9;;;No
Violet / 600;Core;Color;color;#6c3bdb;;;No
Violet / 700;Core;Color;color;#5e2ec6;;;No
Violet / 800;Core;Color;color;#5024ab;;;No
Violet / 900;Core;Color;color;#411c8c;;;No
Violet / Tint;Core;Color;color;#e4dbfb;;;No
Violet / Shade;Core;Color;color;#301e5d;;;No
Cyan / 0;Core;Color;color;#d9fcff;;;No
Cyan / 100;Core;Color;color;#a4ecf4;;;No
Cyan / 200;Core;Color;color;#75dbe8;;;No
Cyan / 300;Core;Color;color;#4fcadd;;;No
Cyan / 400;Core;Color;color;#33bbd2;;;No
Cyan / 500;Core;Color;color;#1eadc6;;;No
Cyan / 600;Core;Color;color;#11a0bb;;;No
Cyan / 700;Core;Color;color;#0894b0;;;No
Cyan / 800;Core;Color;color;#038aa4;;;No
Cyan / 900;Core;Color;color;#008099;;;No
Cyan / Tint;Core;Color;color;#d2eff4;;;No
Cyan / Shade;Core;Color;color;#0c454f;;;No
Teal / 0;Core;Color;color;#d9fff2;;;No
Teal / 100;Core;Color;color;#acf1dc;;;No
Teal / 200;Core;Color;color;#85e3ca;;;No
Teal / 300;Core;Color;color;#65d5ba;;;No
Teal / 400;Core;Color;color;#4cc6ac;;;No
Teal / 500;Core;Color;color;#3ab89f;;;No
Teal / 600;Core;Color;color;#2eaa93;;;No
Teal / 700;Core;Color;color;#259c87;;;No
Teal / 800;Core;Color;color;#1e8e7b;;;No
Teal / 900;Core;Color;color;#19806f;;;No
Teal / Tint;Core;Color;color;#d8f1ec;;;No
Teal / Shade;Core;Color;color;#174a40;;;No
Olive / 0;Core;Color;color;#f2ffd9;;;No
Olive / 100;Core;Color;color;#daf1ac;;;No
Olive / 200;Core;Color;color;#c3e385;;;No
Olive / 300;Core;Color;color;#afd565;;;No
Olive / 400;Core;Color;color;#9ec64c;;;No
Olive / 500;Core;Color;color;#8eb83a;;;No
Olive / 600;Core;Color;color;#81aa2e;;;No
Olive / 700;Core;Color;color;#749c25;;;No
Olive / 800;Core;Color;color;#688e1e;;;No
Olive / 900;Core;Color;color;#5e8019;;;No
Olive / Tint;Core;Color;color;#e8f1d8;;;No
Olive / Shade;Core;Color;color;#394a17;;;No
Yellow / 0;Core;Color;color;#fffcd9;;;No
Yellow / 100;Core;Color;color;#fcf1aa;;;No
Yellow / 200;Core;Color;color;#f9e47e;;;No
Yellow / 300;Core;Color;color;#f7d358;;;No
Yellow / 400;Core;Color;color;#f4c23b;;;No
Yellow / 500;Core;Color;color;#f1b125;;;No
Yellow / 600;Core;Color;color;#eea015;;;No
Yellow / 700;Core;Color;color;#eb900b;;;No
Yellow / 800;Core;Color;color;#e88104;;;No
Yellow / 900;Core;Color;color;#e67300;;;No
Yellow / Tint;Core;Color;color;#fcefd3;;;No
Yellow / Shade;Core;Color;color;#60470f;;;No
Orange / 0;Core;Color;color;#ffe6cc;;;No
Orange / 100;Core;Color;color;#ffc48e;;;No
Orange / 200;Core;Color;color;#fea75b;;;No
Orange / 300;Core;Color;color;#fd9038;;;No
Orange / 400;Core;Color;color;#fc7e21;;;No
Orange / 500;Core;Color;color;#f97012;;;No
Orange / 600;Core;Color;color;#f46409;;;No
Orange / 700;Core;Color;color;#e65703;;;No
Orange / 800;Core;Color;color;#cd4901;;;No
Orange / 900;Core;Color;color;#b63d00;;;No
Orange / Tint;Core;Color;color;#fee2d0;;;No
Orange / Shade;Core;Color;color;#642d07;;;No
Red / 0;Core;Color;color;#ffcabf;;;No
Red / 100;Core;Color;color;#fd9684;;;No
Red / 200;Core;Color;color;#fb6a55;;;No
Red / 300;Core;Color;color;#f84934;;;No
Red / 400;Core;Color;color;#f2321e;;;No
Red / 500;Core;Color;color;#e82010;;;No
Red / 600;Core;Color;color;#d91308;;;No
Red / 700;Core;Color;color;#c30a03;;;No
Red / 800;Core;Color;color;#a70401;;;No
Red / 900;Core;Color;color;#870000;;;No
Red / Tint;Core;Color;color;#fad2cf;;;No
Red / Shade;Core;Color;color;#5d0d06;;;No
Blue / 0;Core;Color;color;#d9e2ff;;;No
Blue / 100;Core;Color;color;#aabcfd;;;No
Blue / 200;Core;Color;color;#7d94f9;;;No
Blue / 300;Core;Color;color;#576ff3;;;No
Blue / 400;Core;Color;color;#3950ea;;;No
Blue / 500;Core;Color;color;#2238df;;;No
Blue / 600;Core;Color;color;#1326cf;;;No
Blue / 700;Core;Color;color;#0819bd;;;No
Blue / 800;Core;Color;color;#0311ab;;;No
Blue / 900;Core;Color;color;#000d99;;;No
Blue / Tint;Core;Color;color;#d3d7f9;;;No
Blue / Shade;Core;Color;color;#131f7b;;;No
Green / 0;Core;Color;color;#dbffed;;;No
Green / 100;Core;Color;color;#8ff0c1;;;No
Green / 200;Core;Color;color;#4ee19c;;;No
Green / 300;Core;Color;color;#1bd27f;;;No
Green / 400;Core;Color;color;#00c26d;;;No
Green / 500;Core;Color;color;#00b367;;;No
Green / 600;Core;Color;color;#00a461;;;No
Green / 700;Core;Color;color;#00955a;;;No
Green / 800;Core;Color;color;#008653;;;No
Green / 900;Core;Color;color;#00774b;;;No
Green / Tint;Core;Color;color;#ccf0e1;;green.500 + #fff 80%;No
Green / Shade;Core;Color;color;#004829;;green.500 + #000 80%;No
125;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":0,"sub_step":0,"not_really_modular_just_multiply_base":0.125};;Not affected by the ratio, just a multiplier of the base value;Yes
250;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":0,"sub_step":0,"not_really_modular_just_multiply_base":0.25};;Not affected by the ratio, just a multiplier of the base value;Yes
500;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":0,"sub_step":0,"not_really_modular_just_multiply_base":0.5};;Not affected by the ratio, just a multiplier of the base value;Yes
750;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":0,"sub_step":0,"not_really_modular_just_multiply_base":0.75};;Not affected by the ratio, just a multiplier of the base value;Yes
1000;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":0,"sub_step":0};;;Yes
1250;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":0,"sub_step":0.25};;;Yes
1500;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":0,"sub_step":0.5};;;Yes
1750;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":0,"sub_step":0.75};;;Yes
2000;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":1,"sub_step":0};;;Yes
2250;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":1,"sub_step":0.25};;;Yes
2500;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":1,"sub_step":0.5};;;Yes
2750;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":1,"sub_step":0.75};;;Yes
3000;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":2,"sub_step":0};;;Yes
3125;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":2,"sub_step":0.125};;;Yes
3250;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":2,"sub_step":0.25};;;Yes
3375;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":2,"sub_step":0.375};;;Yes
3500;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":2,"sub_step":0.5};;;Yes
3625;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":2,"sub_step":0.625};;;Yes
3750;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":2,"sub_step":0.75};;;Yes
3875;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":2,"sub_step":0.875};;;Yes
4000;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":3,"sub_step":0};;;Yes
4125;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":3,"sub_step":0.125};;;Yes
4250;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":3,"sub_step":0.25};;;Yes
4375;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":3,"sub_step":0.375};;;Yes
4500;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":3,"sub_step":0.5};;;Yes
4625;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":3,"sub_step":0.625};;;Yes
4750;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":3,"sub_step":0.75};;;Yes
4875;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":3,"sub_step":0.875};;;Yes
5000;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":4,"sub_step":0};;;Yes
5125;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":4,"sub_step":0.125};;;Yes
5250;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":4,"sub_step":0.25};;;Yes
5375;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":4,"sub_step":0.375};;;Yes
5500;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":4,"sub_step":0.5};;;Yes
5625;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":4,"sub_step":0.625};;;Yes
5750;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":4,"sub_step":0.75};;;Yes
5875;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":4,"sub_step":0.875};;;Yes
6000;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":5,"sub_step":0};;;Yes
6125;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":5,"sub_step":0.125};;;Yes
6250;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":5,"sub_step":0.25};;;Yes
6375;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":5,"sub_step":0.375};;;Yes
6500;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":5,"sub_step":0.5};;;Yes
6625;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":5,"sub_step":0.625};;;Yes
6750;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":5,"sub_step":0.75};;;Yes
6875;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":5,"sub_step":0.875};;;Yes
7000;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":6,"sub_step":0};;;Yes
7125;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":6,"sub_step":0.125};;;Yes
7250;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":6,"sub_step":0.25};;;Yes
7375;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":6,"sub_step":0.375};;;Yes
7500;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":6,"sub_step":0.5};;;Yes
7625;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":6,"sub_step":0.625};;;Yes
7750;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":6,"sub_step":0.75};;;Yes
7875;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":6,"sub_step":0.875};;;Yes
8000;Core;Dimension;modular-scale;{"base":"{core.dimension.base.value}","ratio":"{core.dimension.ratio.value}","pow":7,"sub_step":0};;;Yes
Base;Core;Dimension;dimension;8px;;;No
Ratio;Core;Dimension;number;2;;;No
None;Core;Dimension;dimension;0px;;;No
sm;Core;Line Weight;dimension;1px;;;No
md;Core;Line Weight;dimension;2px;;;No
lg;Core;Line Weight;dimension;4px;;;No
Duration / Instant;Core;Motion;time;0ms;;;No
Duration / Immediate;Core;Motion;time;100ms;;;No
Duration / Fast;Core;Motion;time;200ms;;;No
Duration / Slow;Core;Motion;time;600ms;;;No
Duration / Deliberate;Core;Motion;time;800ms;;;No
Easing / Easeinout;Core;Motion;cubic-bezier;0.4,0,0.6,1;;;No
Easing / Easeout;Core;Motion;cubic-bezier;0.4,0.6,0.6,1;;;No
Easing / Easein;Core;Motion;cubic-bezier;0.4,0,1,1;;;No
None;Core;Opacity;number;0;;;No
Low;Core;Opacity;number;0.35;;;No
Medium;Core;Opacity;number;0.5;;;No
Normal;Core;Opacity;number;0.75;;;No
High;Core;Opacity;number;0.85;;;No
Full;Core;Opacity;number;1;;;No
0;Core;Radius;dimension;0px;;;No
10;Core;Radius;dimension;2px;;;No
20;Core;Radius;dimension;4px;;;No
30;Core;Radius;dimension;6px;;;No
40;Core;Radius;dimension;8px;;;No
60;Core;Radius;dimension;12px;;;No
500;Core;Radius;percentage;50%;;Used for ui elements like radio buttons or things like avatars;No
900;Core;Radius;dimension;999px;;Used for pill-shaped ui elements;No
Level 0;Core;Shadow;shadow;0px 0px 0px 0px ({core.color.black} / 0.1);;;Yes
Level 1;Core;Shadow;shadow;0px 2px 8px 0px ({core.color.black} / 0.1), 0px 1px 2px 0px ({core.color.black} / 0.1);;;Yes
Level 2;Core;Shadow;shadow;0px 4px 16px 0px ({core.color.black} / 0.1), 0px 2px 4px 0px ({core.color.black} / 0.1);;;Yes
Level 3;Core;Shadow;shadow;0px 6px 24px 0px ({core.color.black} / 0.1), 0px 3px 6px 0px ({core.color.black} / 0.1);;;Yes
Level 4;Core;Shadow;shadow;0px 8px 32px 0px ({core.color.black} / 0.1), 0px 4px 8px 0px ({core.color.black} / 0.1);;;Yes
Level 5;Core;Shadow;shadow;0px 10px 40px 0px ({core.color.black} / 0.1), 0px 5px 10px 0px ({core.color.black} / 0.1);;;Yes
Level 6;Core;Shadow;shadow;0px 12px 48px 0px ({core.color.black} / 0.1), 0px 6px 12px 0px ({core.color.black} / 0.1);;;Yes
Level 7;Core;Shadow;shadow;0px 14px 56px 0px ({core.color.black} / 0.1), 0px 7px 14px 0px ({core.color.black} / 0.1);;;Yes
Level 8;Core;Shadow;shadow;0px 16px 64px 0px ({core.color.black} / 0.1), 0px 8px 16px 0px ({core.color.black} / 0.1);;;Yes
Level 9;Core;Shadow;shadow;0px 18px 72px 0px ({core.color.black} / 0.1), 0px 9px 18px 0px ({core.color.black} / 0.1);;;Yes
Level 10;Core;Shadow;shadow;0px 20px 80px 0px ({core.color.black} / 0.1), 0px 10px 20px 0px ({core.color.black} / 0.1);;;Yes
Level 11;Core;Shadow;shadow;0px 22px 88px 0px ({core.color.black} / 0.1), 0px 11px 22px 0px ({core.color.black} / 0.1);;;Yes
Level 12;Core;Shadow;shadow;0px 24px 96px 0px ({core.color.black} / 0.1), 0px 12px 24px 0px ({core.color.black} / 0.1);;;Yes
Special / App Bar / Top / Flat;Core;Shadow;shadow;0px 1px 0px 0px ({core.color.black} / 0.1);;;Yes
Special / App Bar / Top / Subtle;Core;Shadow;shadow;0px 1px 0px 0px ({core.color.black} / 0.05), 0px 2px 8px 0px ({core.color.black} / 0.05);;;Yes
Special / App Bar / Bottom / Flat;Core;Shadow;shadow;0px -1px 0px 0px ({core.color.black} / 0.1);;;Yes
Special / App Bar / Bottom / Subtle;Core;Shadow;shadow;0px -1px 0px 0px ({core.color.black} / 0.05), 0px -2px 8px 0px ({core.color.black} / 0.05);;;Yes
Special / Intense;Core;Shadow;shadow;0px 0px 2px 0px ({core.color.black} / 0.24), 0px 2px 4px 0px ({core.color.black} / 0.24), 0px 4px 12px 0px ({core.color.black} / 0.26);;;Yes
Font Family / Sans;Core;Typography;font;TeleNeoWeb, sans-serif;;;No
Font Family / Mono;Core;Typography;font;monospace;;;No
Font Weight / Thin;Core;Typography;number;200;;;No
Font Weight / Regular;Core;Typography;number;400;;;No
Font Weight / Medium;Core;Typography;number;500;;;No
Font Weight / Bold;Core;Typography;number;700;;;No
Font Weight / Extra Bold;Core;Typography;number;800;;;No
Font Weight / Ultra;Core;Typography;number;900;;;No
Font Scale / 1;Core;Typography;dimension;10px;;;No
Font Scale / 2;Core;Typography;dimension;12px;;;No
Font Scale / 3;Core;Typography;dimension;14px;;;No
Font Scale / 4;Core;Typography;dimension;16px;;;No
Font Scale / 5;Core;Typography;dimension;18px;;;No
Font Scale / 6;Core;Typography;dimension;20px;;;No
Font Scale / 7;Core;Typography;dimension;24px;;;No
Font Scale / 8;Core;Typography;dimension;28px;;;No
Font Scale / 9;Core;Typography;dimension;32px;;;No
Font Scale / 10;Core;Typography;dimension;36px;;;No
Font Scale / 11;Core;Typography;dimension;42px;;;No
Font Scale / 12;Core;Typography;dimension;48px;;;No
Font Scale / 13;Core;Typography;dimension;54px;;;No
Font Scale / 14;Core;Typography;dimension;60px;;;No
Font Scale / 15;Core;Typography;dimension;68px;;;No
Font Scale / 16;Core;Typography;dimension;76px;;;No
Line Spacing / None;Core;Typography;number;1;;;No
Line Spacing / xxs;Core;Typography;number;1.15;;;No
Line Spacing / xs;Core;Typography;number;1.2;;;No
Line Spacing / sm;Core;Typography;number;1.25;;;No
Line Spacing / md;Core;Typography;number;1.35;;;No
Line Spacing / lg;Core;Typography;number;1.4;;;No
Line Spacing / xl;Core;Typography;number;1.5;;;No
Letter Spacing / None;Core;Typography;number;0;;;No